izquierda,centro,derecha,accion
53,1007,51,adelante
52,1007,50,adelante
53,1007,51,adelante
53,1007,50,adelante
53,1007,50,adelante
53,1007,51,adelante
56,1007,54,adelante
57,1007,54,adelante
56,1007,54,adelante
55,1007,52,adelante
55,1007,53,adelante
55,1008,52,adelante
55,1007,52,adelante
55,1007,52,adelante
53,1007,51,adelante
54,1007,53,adelante
53,1007,52,adelante
53,50,50,parar
54,51,52,parar
54,51,51,parar
54,51,1005,izq_fuerte
54,51,1005,izq_fuerte
52,50,1005,izq_fuerte
52,48,1005,izq_fuerte
49,47,1005,izq_fuerte
47,45,45,parar
48,45,45,parar
47,45,45,parar
48,45,45,parar
48,1007,45,adelante
47,1007,45,adelante
47,1007,45,adelante
47,1007,45,adelante
47,1007,44,adelante
47,1007,45,adelante
47,1007,45,adelante
47,1007,45,adelante
47,1007,45,adelante
48,1007,46,adelante
48,1007,45,adelante
48,1007,46,adelante
48,1007,46,adelante
49,1007,46,adelante
49,1007,46,adelante
49,1007,47,adelante
949,46,46,der_fuerte
948,46,47,der_fuerte
947,46,47,der_fuerte
48,45,45,parar
48,45,45,parar
47,1005,45,adelante
48,1006,45,adelante
47,1005,45,adelante
46,1006,46,adelante
47,1005,45,adelante
47,1006,45,adelante
46,1005,44,adelante
46,1006,44,adelante
47,1006,44,adelante
47,1005,44,adelante
47,1006,44,adelante
48,1006,45,adelante
47,1006,45,adelante
48,1006,45,adelante
48,1006,45,adelante
48,1006,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1006,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
47,1007,45,adelante
48,1007,45,adelante
47,1006,45,adelante
46,1006,45,adelante
47,1007,45,adelante
47,1007,44,adelante
46,1007,44,adelante
47,1006,44,adelante
47,1007,44,adelante
47,1006,44,adelante
48,1006,44,adelante
47,1007,45,adelante
47,1007,45,adelante
48,1007,45,adelante
47,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
47,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
47,1006,45,adelante
47,1006,45,adelante
48,1007,45,adelante
47,1006,45,adelante
48,1006,45,adelante
47,1006,45,adelante
47,1006,45,adelante
47,1006,45,adelante
46,1006,45,adelante
46,1006,44,adelante
47,44,44,parar
48,45,45,parar
48,45,45,parar
